ticker,company,price,date
BERG,Crown Paints Kenya Limited,39,11/20/2020
BKG,Bank of Kigali Group Limited,13.5,11/20/2020
BOC,BOC Kenya Limited,66,11/20/2020
BRIT,Britam Holdings Limited,7.48,11/20/2020
C&G,Car and General (Kenya) Limited,21.8,11/20/2020
CABL,East African Cables Limited,1.4,11/20/2020
CARB,Carbacid Investments Limited,8.52,11/20/2020
CFC,Stanbic Holdings Limited,83,11/20/2020
CFCI,Liberty Kenya Holdings Limited,7.5,11/20/2020
CIC,CIC Insurance Group Limited,2.07,11/20/2020
COOP,Co-operative Bank of Kenya Limited,11.65,11/20/2020
DCON,Deacons (East Africa) Plc,0.45,11/20/2020
DTK,Diamond Trust Bank Kenya Limited,63.25,11/20/2020
EABL,East African Breweries Limited,155,11/20/2020
EGAD,Eaagads Limited,12.7,11/20/2020
EQTY,Equity Group Holdings Limited,35.35,11/20/2020
EVRD,Eveready East Africa Limited,0.89,11/20/2020
FAHR,STANLIB Fahari Income REIT,5.28,11/20/2020
FIRE,Sameer Africa Limited,3.09,11/20/2020
FTGH,Flame Tree Group Holdings Limited,1.41,11/20/2020
GLD,NewGold Exchange Traded Fund,"1,975.00",11/20/2020
HAFR,Home Afrika Limited,0.4,11/20/2020
HFCK,Housing Finance Company Limited,3.17,11/20/2020
I&M,I&M Holdings Plc,45,11/20/2020
ICDC,Centum Investment Company Limited,16,11/20/2020
JUB,Jubilee Holdings Limited,266,11/20/2020
KAPC,Kapchorua Tea Company Limited,71.5,11/20/2020
KCB,KCB Bank Kenya Limited,36.2,11/20/2020
KEGN,Kenya Electricity Generating Co. Ltd.,4.74,11/20/2020
KNRE,Kenya Re-Insurance Corporation Ltd,2.12,11/20/2020
KPLC,Kenya Power & Lighting Co. Limited,1.61,11/20/2020
KPLC-P4,Kenya Power Pref. Shares at 4%,5,11/20/2020
KPLC-P7,Kenya Power Pref. Shares at 7%,6,11/20/2020
KQ,Kenya Airways Limited,3.83,11/20/2020
KUKZ,Kakuzi Limited,365,11/20/2020
KURV,Kurwitu Ventures Limited,"1,500.00",11/20/2020
LIMT,Limuru Tea Company Limited,360,11/20/2020
LKL,Longhorn Publishers Limited,4.54,11/20/2020
MSC,Mumias Sugar Company Limited,0.28,11/20/2020
NBK,National Bank of Kenya Limited,4.12,11/20/2020
NBV,Nairobi Business Ventures Ltd,0.71,11/20/2020
NIC,NIC Bank Limited,22.7,11/20/2020
NMG,Nation Media Group,15.5,11/20/2020
NSE,Nairobi Securities Exchange Limited,8.12,11/20/2020
OCH,Olympia Capital Holdings Limited,2.33,11/20/2020
ORCH,Kenya Orchards Limited,11.05,11/20/2020
PAFR,Sanlam Kenya Plc,11.6,11/20/2020
PORT,East African Portland Cement Co. Ltd,13,11/20/2020
SASN,Sasini Tea and Coffee Limited,17.1,11/20/2020
SCAN,ScanGroup Limited,6.22,11/20/2020
SCBK,Standard Chartered Bank Limited,149.25,11/20/2020
SCOM,Safaricom Limited,32,11/20/2020
SGL,Standard Group Limited,25.3,11/20/2020
TCL,Trans Century Limited,1.23,11/20/2020
TOTL,Total Kenya Limited,22.3,11/20/2020
TPSE,TPS Eastern Africa (Serena) Limited,14,11/20/2020
UCHM,Uchumi Supermarket Limited,0.29,11/20/2020
UMME,Umeme Limited,7.14,11/20/2020
UNGA,Unga Group Limited,30.05,11/20/2020
WTK,Williamson Tea Kenya Limited,129.5,11/20/2020
XPRS,Express Kenya Limited,3.1,11/20/2020
ABSA,Absa Bank Kenya Plc,9.58,11/21/2020
ARM,ARM Cement Limited,5.55,11/21/2020
BAMB,Bamburi Cement Limited,28.2,11/21/2020
BAT,British American Tobacco (Kenya) Ltd.,370,11/21/2020
BERG,Crown Paints Kenya Limited,39,11/21/2020
BKG,Bank of Kigali Group Limited,13.5,11/21/2020
BOC,BOC Kenya Limited,66,11/21/2020
BRIT,Britam Holdings Limited,7.48,11/21/2020
C&G,Car and General (Kenya) Limited,21.8,11/21/2020
CABL,East African Cables Limited,1.4,11/21/2020
CARB,Carbacid Investments Limited,8.52,11/21/2020
CFC,Stanbic Holdings Limited,83,11/21/2020
CFCI,Liberty Kenya Holdings Limited,7.5,11/21/2020
CIC,CIC Insurance Group Limited,2.07,11/21/2020
COOP,Co-operative Bank of Kenya Limited,11.65,11/21/2020
DCON,Deacons (East Africa) Plc,0.45,11/21/2020
DTK,Diamond Trust Bank Kenya Limited,63.25,11/21/2020
EABL,East African Breweries Limited,155,11/21/2020
EGAD,Eaagads Limited,12.7,11/21/2020
